player,team,season,type
Malcom,FC Barcelona,2018-2019,club
Lionel Messi,FC Barcelona,2018-2019,club
Luis Suarez,FC Barcelona,2018-2019,club
Valverde,FC Barcelona,2018-2019,club
Aspiazu,FC Barcelona,2018-2019,club
Barbara,FC Barcelona,2018-2019,club
De la Fuente,FC Barcelona,2018-2019,club
Inaki Pena,FC Barcelona,2019-2020,club
Neto,FC Barcelona,2019-2020,club
Marc-Andre ter Stegen,FC Barcelona,2019-2020,club
Akieme,FC Barcelona,2019-2020,club
Ronald Araujo,FC Barcelona,2019-2020,club
Chumi,FC Barcelona,2019-2020,club
Daniel Morer,FC Barcelona,2019-2020,club
Junior Firpo,FC Barcelona,2019-2020,club
Jordi Alba,FC Barcelona,2019-2020,club
Clement Lenglet,FC Barcelona,2019-2020,club
Nelson Semedo,FC Barcelona,2019-2020,club
Pique,FC Barcelona,2019-2020,club
Samuel Umtiti,FC Barcelona,2019-2020,club
Arthur,FC Barcelona,2019-2020,club
Busquets,FC Barcelona,2019-2020,club
Frenkie de Jong,FC Barcelona,2019-2020,club
Ivan Rakitic,FC Barcelona,2019-2020,club
Riqui Puig,FC Barcelona,2019-2020,club
Sergi Roberto,FC Barcelona,2019-2020,club
Arda Turan,FC Barcelona,2019-2020,club
Arturo Vidal,FC Barcelona,2019-2020,club
Alex Collado,FC Barcelona,2019-2020,club
Martin Braithwaite,FC Barcelona,2019-2020,club
Ansu Fati,FC Barcelona,2019-2020,club
Antoine Griezmann,FC Barcelona,2019-2020,club
Rey Manaj,FC Barcelona,2019-2020,club
Lionel Messi,FC Barcelona,2019-2020,club
Luis Suarez,FC Barcelona,2019-2020,club
Quique Setien,FC Barcelona,2019-2020,club
Eder Sarabia,FC Barcelona,2019-2020,club
Jon Pascua,FC Barcelona,2019-2020,club
Fran Soto,FC Barcelona,2019-2020,club
Benoit Costil,France,2013-2014,nation
Mickael Landreau,France,2013-2014,nation
Hugo Lloris,France,2013-2014,nation
Steve Mandanda,France,2013-2014,nation
Stephane Ruffier,France,2013-2014,nation
Mathieu Debuchy,France,2013-2014,nation
Lucas Digne,France,2013-2014,nation
Patrice Evra,France,2013-2014,nation
Christophe Jallet,France,2013-2014,nation
Laurent Koscielny,France,2013-2014,nation
Layvin Kurzawa,France,2013-2014,nation
Eliaquim Mangala,France,2013-2014,nation
Jeremy Mathieu,France,2013-2014,nation
Bacary Sagna,France,2013-2014,nation
Mamadou Sakho,France,2013-2014,nation
Raphael Varane,France,2013-2014,nation
Mapou Yanga-Mbiwa,France,2013-2014,nation
Kurt Zouma,France,2013-2014,nation
Yohan Cabaye,France,2013-2014,nation
Remy Cabella,France,2013-2014,nation
Maxime Gonalons,France,2013-2014,nation
Clement Grenier,France,2013-2014,nation
Josuha Guilavogui,France,2013-2014,nation
Blaise Matuidi,France,2013-2014,nation
Rio Mavuba,France,2013-2014,nation
Loic Perrin,France,2013-2014,nation
Paul Pogba,France,2013-2014,nation
Franck Ribery,France,2013-2014,nation
Morgan Schneiderlin,France,2013-2014,nation
Moussa Sissoko,France,2013-2014,nation
Mathieu Valbuena,France,2013-2014,nation
Karim Benzema,France,2013-2014,nation
Andre-Pierre Gignac,France,2013-2014,nation
Olivier Giroud,France,2013-2014,nation
Antoine Griezmann,France,2013-2014,nation
Alexandre Lacazette,France,2013-2014,nation
Dimitri Payet,France,2013-2014,nation
Loic Remy,France,2013-2014,nation
Didier Deschamps,France,2013-2014,nation
Alphonse Areola,France,2014-2015,nation
Benoit Costil,France,2014-2015,nation
Hugo Lloris,France,2014-2015,nation
Steve Mandanda,France,2014-2015,nation
Stephane Ruffier,France,2014-2015,nation
Mathieu Debuchy,France,2014-2015,nation
Lucas Digne,France,2014-2015,nation
Patrice Evra,France,2014-2015,nation
Christophe Jallet,France,2014-2015,nation
Laurent Koscielny,France,2014-2015,nation
Eliaquim Mangala,France,2014-2015,nation
Bacary Sagna,France,2014-2015,nation
Mamadou Sakho,France,2014-2015,nation
Benoit Tremoulinas,France,2014-2015,nation
Raphael Varane,France,2014-2015,nation
Kurt Zouma,France,2014-2015,nation
Hatem Ben Arfa,France,2014-2015,nation
Yohan Cabaye,France,2014-2015,nation
Kingsley Coman,France,2014-2015,nation
Lassana Diarra,France,2014-2015,nation
Nabil Fekir,France,2014-2015,nation
Maxime Gonalons,France,2014-2015,nation
Josuha Guilavogui,France,2014-2015,nation
Geoffrey Kondogbia,France,2014-2015,nation
Blaise Matuidi,France,2014-2015,nation
Paul-Georges Ntep,France,2014-2015,nation
Loic Perrin,France,2014-2015,nation
Paul Pogba,France,2014-2015,nation
Morgan Schneiderlin,France,2014-2015,nation
Moussa Sissoko,France,2014-2015,nation
Mathieu Valbuena,France,2014-2015,nation
Karim Benzema,France,2014-2015,nation
Andre-Pierre Gignac,France,2014-2015,nation
Olivier Giroud,France,2014-2015,nation
Antoine Griezmann,France,2014-2015,nation
Alexandre Lacazette,France,2014-2015,nation
Anthony Martial,France,2014-2015,nation
Dimitri Payet,France,2014-2015,nation
Didier Deschamps,France,2014-2015,nation
Alphonse Areola,France,2015-2016,nation
Benoit Costil,France,2015-2016,nation
Hugo Lloris,France,2015-2016,nation
Steve Mandanda,France,2015-2016,nation
Sebastien Corchia,France,2015-2016,nation
Lucas Digne,France,2015-2016,nation
Patrice Evra,France,2015-2016,nation
Christophe Jallet,France,2015-2016,nation
Laurent Koscielny,France,2015-2016,nation
Layvin Kurzawa,France,2015-2016,nation
Eliaquim Mangala,France,2015-2016,nation
Jeremy Mathieu,France,2015-2016,nation
Adil Rami,France,2015-2016,nation
Bacary Sagna,France,2015-2016,nation
Mamadou Sakho,France,2015-2016,nation
Djibril Sidibe,France,2015-2016,nation
Samuel Umtiti,France,2015-2016,nation
Raphael Varane,France,2015-2016,nation
Yohan Cabaye,France,2015-2016,nation
Lassana Diarra,France,2015-2016,nation
N'Golo Kante,France,2015-2016,nation
Geoffrey Kondogbia,France,2015-2016,nation
Blaise Matuidi,France,2015-2016,nation
Paul Pogba,France,2015-2016,nation
Adrien Rabiot,France,2015-2016,nation
Moussa Sissoko,France,2015-2016,nation
Kingsley Coman,France,2015-2016,nation
Nabil Fekir,France,2015-2016,nation
Kevin Gameiro,France,2015-2016,nation
Andre-Pierre Gignac,France,2015-2016,nation
Olivier Giroud,France,2015-2016,nation
Antoine Griezmann,France,2015-2016,nation
Thomas Lemar,France,2015-2016,nation
Anthony Martial,France,2015-2016,nation
Dimitri Payet,France,2015-2016,nation
Didier Deschamps,France,2015-2016,nation
Guy Stephan,France,2015-2016,nation
Franck Raviot,France,2015-2016,nation
Alphonse Areola,France,2016-2017,nation
Benoit Costil,France,2016-2017,nation
Hugo Lloris,France,2016-2017,nation
Steve Mandanda,France,2016-2017,nation
Sebastien Corchia,France,2016-2017,nation
Lucas Digne,France,2016-2017,nation
Christophe Jallet,France,2016-2017,nation
Presnel Kimpembe,France,2016-2017,nation
Laurent Koscielny,France,2016-2017,nation
Layvin Kurzawa,France,2016-2017,nation
Aymeric Laporte,France,2016-2017,nation
Benjamin Mendy,France,2016-2017,nation
Benjamin Pavard,France,2016-2017,nation
Adil Rami,France,2016-2017,nation
Bacary Sagna,France,2016-2017,nation
Djibril Sidibe,France,2016-2017,nation
Samuel Umtiti,France,2016-2017,nation
Raphael Varane,France,2016-2017,nation
Kurt Zouma,France,2016-2017,nation
Tiemoue Bakayoko,France,2016-2017,nation
Kingsley Coman,France,2016-2017,nation
N'Golo Kante,France,2016-2017,nation
Blaise Matuidi,France,2016-2017,nation
Steven N'Zonzi,France,2016-2017,nation
Dimitri Payet,France,2016-2017,nation
Paul Pogba,France,2016-2017,nation
Adrien Rabiot,France,2016-2017,nation
Moussa Sissoko,France,2016-2017,nation
Corentin Tolisso,France,2016-2017,nation
Nabil Fekir,France,2016-2017,nation
Kevin Gameiro,France,2016-2017,nation
Olivier Giroud,France,2016-2017,nation
Antoine Griezmann,France,2016-2017,nation
Alexandre Lacazette,France,2016-2017,nation
Thomas Lemar,France,2016-2017,nation
Anthony Martial,France,2016-2017,nation
Kylian Mbappe,France,2016-2017,nation
Florian Thauvin,France,2016-2017,nation
Didier Deschamps,France,2016-2017,nation
Alphonse Areola,France,2017-2018,nation
Hugo Lloris,France,2017-2018,nation
Steve Mandanda,France,2017-2018,nation
Lucas Digne,France,2017-2018,nation
Lucas Hernandez,France,2017-2018,nation
Presnel Kimpembe,France,2017-2018,nation
Laurent Koscielny,France,2017-2018,nation
Benjamin Mendy,France,2017-2018,nation
Ferland Mendy,France,2017-2018,nation
Benjamin Pavard,France,2017-2018,nation
Adil Rami,France,2017-2018,nation
Mamadou Sakho,France,2017-2018,nation
Djibril Sidibe,France,2017-2018,nation
Samuel Umtiti,France,2017-2018,nation
Raphael Varane,France,2017-2018,nation
Kurt Zouma,France,2017-2018,nation
Nabil Fekir,France,2017-2018,nation
N'Golo Kante,France,2017-2018,nation
Blaise Matuidi,France,2017-2018,nation
Steven N'Zonzi,France,2017-2018,nation
Tanguy NDombele,France,2017-2018,nation
Dimitri Payet,France,2017-2018,nation
Paul Pogba,France,2017-2018,nation
Adrien Rabiot,France,2017-2018,nation
Moussa Sissoko,France,2017-2018,nation
Corentin Tolisso,France,2017-2018,nation
Wissam Ben Yedder,France,2017-2018,nation
Olivier Giroud,France,2017-2018,nation
Antoine Griezmann,France,2017-2018,nation
Thomas Lemar,France,2017-2018,nation
Anthony Martial,France,2017-2018,nation
Kylian Mbappe,France,2017-2018,nation
Alassane Plea,France,2017-2018,nation
Florian Thauvin,France,2017-2018,nation
Didier Deschamps,France,2017-2018,nation
Alphonse Areola,France,2018-2019,nation
Benjamin Lecomte,France,2018-2019,nation
Hugo Lloris,France,2018-2019,nation
Mike Maignan,France,2018-2019,nation
Lucas Digne,France,2018-2019,nation
Leo Dubois,France,2018-2019,nation
Clement Lenglet,France,2018-2019,nation
Ferland Mendy,France,2018-2019,nation
Benjamin Pavard,France,2018-2019,nation
Samuel Umtiti,France,2018-2019,nation
Raphael Varane,France,2018-2019,nation
Kurt Zouma,France,2018-2019,nation
Kingsley Coman,France,2018-2019,nation
N'Golo Kante,France,2018-2019,nation
Blaise Matuidi,France,2018-2019,nation
Tanguy NDombele,France,2018-2019,nation
Paul Pogba,France,2018-2019,nation
Moussa Sissoko,France,2018-2019,nation
Florian Thauvin,France,2018-2019,nation
Wissam Ben Yedder,France,2018-2019,nation
Olivier Giroud,France,2018-2019,nation
Antoine Griezmann,France,2018-2019,nation
Thomas Lemar,France,2018-2019,nation
Kylian Mbappe,France,2018-2019,nation
Didier Deschamps,France,2018-2019,nation
