player,team,season,type
Sidy Kone,Olympique Lyon,2013-2014,club
Arnold Mvuemba,Olympique Lyon,2013-2014,club
Corentin Tolisso,Olympique Lyon,2013-2014,club
Kevin Tsimba,Olympique Lyon,2013-2014,club
Yassine Benzia,Olympique Lyon,2013-2014,club
Jimmy Briand,Olympique Lyon,2013-2014,club
Nabil Fekir,Olympique Lyon,2013-2014,club
Rachid Ghezzal,Olympique Lyon,2013-2014,club
Bafetimbi Gomis,Olympique Lyon,2013-2014,club
Zakarie Labidi,Olympique Lyon,2013-2014,club
Alexandre Lacazette,Olympique Lyon,2013-2014,club
Clinton N'Jie,Olympique Lyon,2013-2014,club
Remi Garde,Olympique Lyon,2013-2014,club
Gerald Baticle,Olympique Lyon,2013-2014,club
Bruno Genesio,Olympique Lyon,2013-2014,club
Joel Bats,Olympique Lyon,2013-2014,club
Robert Duverne,Olympique Lyon,2013-2014,club
Anthony Lopes,Olympique Lyon,2014-2015,club
Mathieu Gorgelin,Olympique Lyon,2014-2015,club
Henri Bedimo,Olympique Lyon,2014-2015,club
Milan Bisevac,Olympique Lyon,2014-2015,club
Mouhamadou Dabo,Olympique Lyon,2014-2015,club
Christophe Jallet,Olympique Lyon,2014-2015,club
Bakary Kone,Olympique Lyon,2014-2015,club
Dylan Mboumbouni,Olympique Lyon,2014-2015,club
Fahd Moufi,Olympique Lyon,2014-2015,club
Romaric N'Gouma,Olympique Lyon,2014-2015,club
Lindsay Rose,Olympique Lyon,2014-2015,club
Samuel Umtiti,Olympique Lyon,2014-2015,club
Ulrik Yttergard Jenssen,Olympique Lyon,2014-2015,club
Mehdi Zeffane,Olympique Lyon,2014-2015,club
Fares Bahlouli,Olympique Lyon,2014-2015,club
Jordan Ferri,Olympique Lyon,2014-2015,club
Gueida Fofana,Olympique Lyon,2014-2015,club
Maxime Gonalons,Olympique Lyon,2014-2015,club
Yoann Gourcuff,Olympique Lyon,2014-2015,club
Clement Grenier,Olympique Lyon,2014-2015,club
Sidy Kone,Olympique Lyon,2014-2015,club
Arnold Mvuemba,Olympique Lyon,2014-2015,club
Corentin Tolisso,Olympique Lyon,2014-2015,club
Xiuwei Zhang,Olympique Lyon,2014-2015,club
Yassine Benzia,Olympique Lyon,2014-2015,club
Maxwel Cornet,Olympique Lyon,2014-2015,club
Nabil Fekir,Olympique Lyon,2014-2015,club
Rachid Ghezzal,Olympique Lyon,2014-2015,club
Zakarie Labidi,Olympique Lyon,2014-2015,club
Alexandre Lacazette,Olympique Lyon,2014-2015,club
Clinton N'Jie,Olympique Lyon,2014-2015,club
Mohamed Yattara,Olympique Lyon,2014-2015,club
