player,team,season,type
Samuel Umtiti,FC Barcelona,2016-2017,club
Andre Gomes,FC Barcelona,2016-2017,club
Busquets,FC Barcelona,2016-2017,club
Carles Alena,FC Barcelona,2016-2017,club
Denis Suarez,FC Barcelona,2016-2017,club
Iniesta,FC Barcelona,2016-2017,club
Wilfrid Kaptoum,FC Barcelona,2016-2017,club
Rafinha,FC Barcelona,2016-2017,club
Ivan Rakitic,FC Barcelona,2016-2017,club
Sergi Roberto,FC Barcelona,2016-2017,club
Arda Turan,FC Barcelona,2016-2017,club
Alex Carbonell,FC Barcelona,2016-2017,club
Cristian Tello,FC Barcelona,2016-2017,club
Marc Cardona,FC Barcelona,2016-2017,club
Neymar,FC Barcelona,2016-2017,club
Paco Alcacer,FC Barcelona,2016-2017,club
Luis Suarez,FC Barcelona,2016-2017,club
Luis Enrique,FC Barcelona,2016-2017,club
Barbara,FC Barcelona,2016-2017,club
Jesus Casas,FC Barcelona,2016-2017,club
Robert Moreno,FC Barcelona,2016-2017,club
Unzue,FC Barcelona,2016-2017,club
De la Fuente,FC Barcelona,2016-2017,club
Adrian Ortola,FC Barcelona,2017-2018,club
Jasper Cillessen,FC Barcelona,2017-2018,club
Marc-Andre ter Stegen,FC Barcelona,2017-2018,club
Aleix Vidal,FC Barcelona,2017-2018,club
Cucurella,FC Barcelona,2017-2018,club
David Costas,FC Barcelona,2017-2018,club
Lucas Digne,FC Barcelona,2017-2018,club
Jordi Alba,FC Barcelona,2017-2018,club
Yerry Mina,FC Barcelona,2017-2018,club
Nelson Semedo,FC Barcelona,2017-2018,club
Pique,FC Barcelona,2017-2018,club
Samuel Umtiti,FC Barcelona,2017-2018,club
Thomas Vermaelen,FC Barcelona,2017-2018,club
Andre Gomes,FC Barcelona,2017-2018,club
Busquets,FC Barcelona,2017-2018,club
Carles Alena,FC Barcelona,2017-2018,club
Coutinho,FC Barcelona,2017-2018,club
Denis Suarez,FC Barcelona,2017-2018,club
Iniesta,FC Barcelona,2017-2018,club
Jose Arnaiz,FC Barcelona,2017-2018,club
Oriol Busquets,FC Barcelona,2017-2018,club
Paulinho,FC Barcelona,2017-2018,club
Ivan Rakitic,FC Barcelona,2017-2018,club
Samper,FC Barcelona,2017-2018,club
Sergi Roberto,FC Barcelona,2017-2018,club
Ousmane Dembele,FC Barcelona,2017-2018,club
Paco Alcacer,FC Barcelona,2017-2018,club
Luis Suarez,FC Barcelona,2017-2018,club
Valverde,FC Barcelona,2017-2018,club
Aspiazu,FC Barcelona,2017-2018,club
Barbara,FC Barcelona,2017-2018,club
De la Fuente,FC Barcelona,2017-2018,club
Jasper Cillessen,FC Barcelona,2018-2019,club
Inaki Pena,FC Barcelona,2018-2019,club
Jokin Ezkieta,FC Barcelona,2018-2019,club
Marc-Andre ter Stegen,FC Barcelona,2018-2019,club
Chumi,FC Barcelona,2018-2019,club
Guillem Jaime,FC Barcelona,2018-2019,club
Jordi Alba,FC Barcelona,2018-2019,club
Jorge Cuenca,FC Barcelona,2018-2019,club
Juan Miranda,FC Barcelona,2018-2019,club
Clement Lenglet,FC Barcelona,2018-2019,club
Jeison Murillo,FC Barcelona,2018-2019,club
Nelson Semedo,FC Barcelona,2018-2019,club
Pique,FC Barcelona,2018-2019,club
Jean-Clair Todibo,FC Barcelona,2018-2019,club
Samuel Umtiti,FC Barcelona,2018-2019,club
Thomas Vermaelen,FC Barcelona,2018-2019,club
Moussa Wague,FC Barcelona,2018-2019,club
Arthur,FC Barcelona,2018-2019,club
Kevin-Prince Boateng,FC Barcelona,2018-2019,club
Busquets,FC Barcelona,2018-2019,club
Carles Alena,FC Barcelona,2018-2019,club
Coutinho,FC Barcelona,2018-2019,club
Denis Suarez,FC Barcelona,2018-2019,club
Oriol Busquets,FC Barcelona,2018-2019,club
Rafinha,FC Barcelona,2018-2019,club
Ivan Rakitic,FC Barcelona,2018-2019,club
Riqui Puig,FC Barcelona,2018-2019,club
Sergi Roberto,FC Barcelona,2018-2019,club
Arturo Vidal,FC Barcelona,2018-2019,club
Abel Ruiz,FC Barcelona,2018-2019,club
Alex Collado,FC Barcelona,2018-2019,club
Carles Perez,FC Barcelona,2018-2019,club
Ousmane Dembele,FC Barcelona,2018-2019,club
Malcom,FC Barcelona,2018-2019,club
Luis Suarez,FC Barcelona,2018-2019,club
Valverde,FC Barcelona,2018-2019,club
Aspiazu,FC Barcelona,2018-2019,club
Barbara,FC Barcelona,2018-2019,club
De la Fuente,FC Barcelona,2018-2019,club
Inaki Pena,FC Barcelona,2019-2020,club
Neto,FC Barcelona,2019-2020,club
Marc-Andre ter Stegen,FC Barcelona,2019-2020,club
Akieme,FC Barcelona,2019-2020,club
Ronald Araujo,FC Barcelona,2019-2020,club
Chumi,FC Barcelona,2019-2020,club
Daniel Morer,FC Barcelona,2019-2020,club
Junior Firpo,FC Barcelona,2019-2020,club
Jordi Alba,FC Barcelona,2019-2020,club
Clement Lenglet,FC Barcelona,2019-2020,club
Nelson Semedo,FC Barcelona,2019-2020,club
Pique,FC Barcelona,2019-2020,club
Samuel Umtiti,FC Barcelona,2019-2020,club
Arthur,FC Barcelona,2019-2020,club
Busquets,FC Barcelona,2019-2020,club
Frenkie de Jong,FC Barcelona,2019-2020,club
Ivan Rakitic,FC Barcelona,2019-2020,club
Riqui Puig,FC Barcelona,2019-2020,club
Sergi Roberto,FC Barcelona,2019-2020,club
