player,team,season,type
Stanley N'Soki,Paris Saint-Germain,2017-2018,club
Christopher Nkunku,Paris Saint-Germain,2017-2018,club
Javier Pastore,Paris Saint-Germain,2017-2018,club
Adrien Rabiot,Paris Saint-Germain,2017-2018,club
Thiago Motta,Paris Saint-Germain,2017-2018,club
Marco Verratti,Paris Saint-Germain,2017-2018,club
Edinson Cavani,Paris Saint-Germain,2017-2018,club
Angel Di Maria,Paris Saint-Germain,2017-2018,club
Julian Draxler,Paris Saint-Germain,2017-2018,club
Kylian Mbappe,Paris Saint-Germain,2017-2018,club
Timothy Weah,Paris Saint-Germain,2017-2018,club
Unai Emery,Paris Saint-Germain,2017-2018,club
Zoumana Camara,Paris Saint-Germain,2017-2018,club
Carcedo,Paris Saint-Germain,2017-2018,club
Victor Manas,Paris Saint-Germain,2017-2018,club
Villa,Paris Saint-Germain,2017-2018,club
Javier Garcia,Paris Saint-Germain,2017-2018,club
Alphonse Areola,Paris Saint-Germain,2018-2019,club
Gianluigi Buffon,Paris Saint-Germain,2018-2019,club
Sebastien Cibois,Paris Saint-Germain,2018-2019,club
Colin Dagba,Paris Saint-Germain,2018-2019,club
Dani Alves,Paris Saint-Germain,2018-2019,club
Juan Bernat,Paris Saint-Germain,2018-2019,club
Thilo Kehrer,Paris Saint-Germain,2018-2019,club
Presnel Kimpembe,Paris Saint-Germain,2018-2019,club
Layvin Kurzawa,Paris Saint-Germain,2018-2019,club
Marquinhos,Paris Saint-Germain,2018-2019,club
Loic Mbe Soh,Paris Saint-Germain,2018-2019,club
Thomas Meunier,Paris Saint-Germain,2018-2019,club
Thiago Silva,Paris Saint-Germain,2018-2019,club
Arthur Zagre,Paris Saint-Germain,2018-2019,club
Eric Dina Ebimbe,Paris Saint-Germain,2018-2019,club
Isaac Hemans Arday,Paris Saint-Germain,2018-2019,club
Stanley N'Soki,Paris Saint-Germain,2018-2019,club
Christopher Nkunku,Paris Saint-Germain,2018-2019,club
Leandro Paredes,Paris Saint-Germain,2018-2019,club
Adrien Rabiot,Paris Saint-Germain,2018-2019,club
Azzeddine Toufiqui,Paris Saint-Germain,2018-2019,club
Marco Verratti,Paris Saint-Germain,2018-2019,club
Edinson Cavani,Paris Saint-Germain,2018-2019,club
Eric Maxim Choupo-Moting,Paris Saint-Germain,2018-2019,club
Angel Di Maria,Paris Saint-Germain,2018-2019,club
Moussa Diaby,Paris Saint-Germain,2018-2019,club
Julian Draxler,Paris Saint-Germain,2018-2019,club
Metehan Guclu,Paris Saint-Germain,2018-2019,club
Kylian Mbappe,Paris Saint-Germain,2018-2019,club
Thomas Tuchel,Paris Saint-Germain,2018-2019,club
Zoumana Camara,Paris Saint-Germain,2018-2019,club
Zsolt Low,Paris Saint-Germain,2018-2019,club
Arno Michels,Paris Saint-Germain,2018-2019,club
Benjamin Weber,Paris Saint-Germain,2018-2019,club
Gianluca Spinelli,Paris Saint-Germain,2018-2019,club
Rainer Schrey,Paris Saint-Germain,2018-2019,club
Marcin Bulka,Paris Saint-Germain,2019-2020,club
Garissone Innocent,Paris Saint-Germain,2019-2020,club
Keylor Navas,Paris Saint-Germain,2019-2020,club
Sergio Rico,Paris Saint-Germain,2019-2020,club
Mitchel Bakker,Paris Saint-Germain,2019-2020,club
Colin Dagba,Paris Saint-Germain,2019-2020,club
Abdou Diallo,Paris Saint-Germain,2019-2020,club
Juan Bernat,Paris Saint-Germain,2019-2020,club
Thilo Kehrer,Paris Saint-Germain,2019-2020,club
Presnel Kimpembe,Paris Saint-Germain,2019-2020,club
Nianzou Kouassi,Paris Saint-Germain,2019-2020,club
Layvin Kurzawa,Paris Saint-Germain,2019-2020,club
Marquinhos,Paris Saint-Germain,2019-2020,club
Loic Mbe Soh,Paris Saint-Germain,2019-2020,club
Thomas Meunier,Paris Saint-Germain,2019-2020,club
Thiago Silva,Paris Saint-Germain,2019-2020,club
Ander Herrera,Paris Saint-Germain,2019-2020,club
Adil Aouchiche,Paris Saint-Germain,2019-2020,club
Idrissa Gueye,Paris Saint-Germain,2019-2020,club
Pablo Sarabia,Paris Saint-Germain,2019-2020,club
Leandro Paredes,Paris Saint-Germain,2019-2020,club
Marco Verratti,Paris Saint-Germain,2019-2020,club
Edinson Cavani,Paris Saint-Germain,2019-2020,club
Eric Maxim Choupo-Moting,Paris Saint-Germain,2019-2020,club
Angel Di Maria,Paris Saint-Germain,2019-2020,club
Julian Draxler,Paris Saint-Germain,2019-2020,club
Mauro Icardi,Paris Saint-Germain,2019-2020,club
Kylian Mbappe,Paris Saint-Germain,2019-2020,club
Arnaud Muinga,Paris Saint-Germain,2019-2020,club
Thomas Tuchel,Paris Saint-Germain,2019-2020,club
Zoumana Camara,Paris Saint-Germain,2019-2020,club
Zsolt Low,Paris Saint-Germain,2019-2020,club
Arno Michels,Paris Saint-Germain,2019-2020,club
Benjamin Weber,Paris Saint-Germain,2019-2020,club
Gianluca Spinelli,Paris Saint-Germain,2019-2020,club
Rainer Schrey,Paris Saint-Germain,2019-2020,club
Doni,Brazil,2009-2010,nation
Gomes,Brazil,2009-2010,nation
Jefferson,Brazil,2009-2010,nation
Julio Cesar,Brazil,2009-2010,nation
Neto,Brazil,2009-2010,nation
Renan,Brazil,2009-2010,nation
Victor,Brazil,2009-2010,nation
Adriano,Brazil,2009-2010,nation
Alex,Brazil,2009-2010,nation
Andre Santos,Brazil,2009-2010,nation
Dani Alves,Brazil,2009-2010,nation
David Luiz,Brazil,2009-2010,nation
Juan,Brazil,2009-2010,nation
Lucio,Brazil,2009-2010,nation
Luisao,Brazil,2009-2010,nation
Maicon,Brazil,2009-2010,nation
Marcelo,Brazil,2009-2010,nation
Rafael,Brazil,2009-2010,nation
Rever,Brazil,2009-2010,nation
Thiago Silva,Brazil,2009-2010,nation
Carlos Eduardo,Brazil,2009-2010,nation
Coutinho,Brazil,2009-2010,nation
Douglas,Brazil,2009-2010,nation
Ederson,Brazil,2009-2010,nation
Elano,Brazil,2009-2010,nation
Elias,Brazil,2009-2010,nation
Felipe Melo,Brazil,2009-2010,nation
Ganso,Brazil,2009-2010,nation
Gilberto,Brazil,2009-2010,nation
Gilberto Silva,Brazil,2009-2010,nation
Giuliano,Brazil,2009-2010,nation
Hernanes,Brazil,2009-2010,nation
Josue,Brazil,2009-2010,nation
Jucilei,Brazil,2009-2010,nation
Julio Baptista,Brazil,2009-2010,nation
Kaka,Brazil,2009-2010,nation
Kleberson,Brazil,2009-2010,nation
Lucas Leiva,Brazil,2009-2010,nation
Michel Bastos,Brazil,2009-2010,nation
Ramires,Brazil,2009-2010,nation
Sandro,Brazil,2009-2010,nation
Wesley,Brazil,2009-2010,nation
Alexandre Pato,Brazil,2009-2010,nation
Andre,Brazil,2009-2010,nation
Diego Tardelli,Brazil,2009-2010,nation
Grafite,Brazil,2009-2010,nation
Luis Fabiano,Brazil,2009-2010,nation
Nilmar,Brazil,2009-2010,nation
Robinho,Brazil,2009-2010,nation
Ronaldinho,Brazil,2009-2010,nation
Mano Menezes,Brazil,2009-2010,nation
Dunga,Brazil,2009-2010,nation
Jorginho,Brazil,2009-2010,nation
Diego Alves,Brazil,2010-2011,nation
Gomes,Brazil,2010-2011,nation
Jefferson,Brazil,2010-2011,nation
Julio Cesar,Brazil,2010-2011,nation
Neto,Brazil,2010-2011,nation
Victor,Brazil,2010-2011,nation
Adriano,Brazil,2010-2011,nation
Alex Sandro,Brazil,2010-2011,nation
Andre Santos,Brazil,2010-2011,nation
Breno,Brazil,2010-2011,nation
Bruno Cortes,Brazil,2010-2011,nation
Dani Alves,Brazil,2010-2011,nation
Danilo,Brazil,2010-2011,nation
David Luiz,Brazil,2010-2011,nation
Dede,Brazil,2010-2011,nation
Fabio,Brazil,2010-2011,nation
Kleber,Brazil,2010-2011,nation
Lucio,Brazil,2010-2011,nation
Luisao,Brazil,2010-2011,nation
Maicon,Brazil,2010-2011,nation
Marcelo,Brazil,2010-2011,nation
Mario Fernandes,Brazil,2010-2011,nation
Rafael,Brazil,2010-2011,nation
Rever,Brazil,2010-2011,nation
Rhodolfo,Brazil,2010-2011,nation
Thiago Silva,Brazil,2010-2011,nation
Anderson,Brazil,2010-2011,nation
Bruno Cesar,Brazil,2010-2011,nation
Casemiro,Brazil,2010-2011,nation
Cicero,Brazil,2010-2011,nation
Diego Souza,Brazil,2010-2011,nation
Dudu,Brazil,2010-2011,nation
Elano,Brazil,2010-2011,nation
Elias,Brazil,2010-2011,nation
Fernandinho,Brazil,2010-2011,nation
Ganso,Brazil,2010-2011,nation
Henrique,Brazil,2010-2011,nation
Hernanes,Brazil,2010-2011,nation
Jadson,Brazil,2010-2011,nation
Lucas,Brazil,2010-2011,nation
Lucas Leiva,Brazil,2010-2011,nation
Luiz Gustavo,Brazil,2010-2011,nation
Oscar,Brazil,2010-2011,nation
