player,team,season,type
Moya,Atlético Madrid,2015-2016,club
Jan Oblak,Atlético Madrid,2015-2016,club
Borja Gonzalez,Atlético Madrid,2015-2016,club
Filipe Luis,Atlético Madrid,2015-2016,club
Jose Gimenez,Atlético Madrid,2015-2016,club
Diego Godin,Atlético Madrid,2015-2016,club
Lucas Hernandez,Atlético Madrid,2015-2016,club
Theo Hernandez,Atlético Madrid,2015-2016,club
Jesus Gamez,Atlético Madrid,2015-2016,club
Juanfran,Atlético Madrid,2015-2016,club
Nacho Monsalve,Atlético Madrid,2015-2016,club
Stefan Savic,Atlético Madrid,2015-2016,club
Yannick Carrasco,Atlético Madrid,2015-2016,club
Augusto Fernandez,Atlético Madrid,2015-2016,club
Gabi,Atlético Madrid,2015-2016,club
Koke,Atlético Madrid,2015-2016,club
Matias Kranevitter,Atlético Madrid,2015-2016,club
Oliver Torres,Atlético Madrid,2015-2016,club
Thomas Partey,Atlético Madrid,2015-2016,club
Samu Villa,Atlético Madrid,2015-2016,club
Saul,Atlético Madrid,2015-2016,club
Tiago,Atlético Madrid,2015-2016,club
Angel Correa,Atlético Madrid,2015-2016,club
Fernando Torres,Atlético Madrid,2015-2016,club
Rober Manas,Atlético Madrid,2015-2016,club
Luciano Vietto,Atlético Madrid,2015-2016,club
Diego Simeone,Atlético Madrid,2015-2016,club
German Burgos,Atlético Madrid,2015-2016,club
Vizcaino,Atlético Madrid,2015-2016,club
Pablo Vercellone,Atlético Madrid,2015-2016,club
Carlos Menendez,Atlético Madrid,2015-2016,club
Oscar Ortega,Atlético Madrid,2015-2016,club
Andre Moreira,Atlético Madrid,2016-2017,club
Bernabe,Atlético Madrid,2016-2017,club
Moya,Atlético Madrid,2016-2017,club
Jan Oblak,Atlético Madrid,2016-2017,club
Alex Garcia,Atlético Madrid,2016-2017,club
Filipe Luis,Atlético Madrid,2016-2017,club
Jose Gimenez,Atlético Madrid,2016-2017,club
Diego Godin,Atlético Madrid,2016-2017,club
Lucas Hernandez,Atlético Madrid,2016-2017,club
Juanfran,Atlético Madrid,2016-2017,club
Rafa Munoz,Atlético Madrid,2016-2017,club
Stefan Savic,Atlético Madrid,2016-2017,club
Tachi,Atlético Madrid,2016-2017,club
Sime Vrsaljko,Atlético Madrid,2016-2017,club
Keidi Bare,Atlético Madrid,2016-2017,club
Caio Henrique,Atlético Madrid,2016-2017,club
Yannick Carrasco,Atlético Madrid,2016-2017,club
Augusto Fernandez,Atlético Madrid,2016-2017,club
Ferni,Atlético Madrid,2016-2017,club
Gabi,Atlético Madrid,2016-2017,club
Nicolas Gaitan,Atlético Madrid,2016-2017,club
Juan Moreno,Atlético Madrid,2016-2017,club
Koke,Atlético Madrid,2016-2017,club
Thomas Partey,Atlético Madrid,2016-2017,club
Roberto Olabe,Atlético Madrid,2016-2017,club
Saul,Atlético Madrid,2016-2017,club
Tiago,Atlético Madrid,2016-2017,club
Toni Moya,Atlético Madrid,2016-2017,club
Mohammed Boulahia,Atlético Madrid,2016-2017,club
Alessio Cerci,Atlético Madrid,2016-2017,club
Angel Correa,Atlético Madrid,2016-2017,club
Fernando Torres,Atlético Madrid,2016-2017,club
Kevin Gameiro,Atlético Madrid,2016-2017,club
Rober Manas,Atlético Madrid,2016-2017,club
Nicolas Schiappacasse,Atlético Madrid,2016-2017,club
Diego Simeone,Atlético Madrid,2016-2017,club
German Burgos,Atlético Madrid,2016-2017,club
Vizcaino,Atlético Madrid,2016-2017,club
Pablo Vercellone,Atlético Madrid,2016-2017,club
Ivan Rafael Diaz Infante,Atlético Madrid,2016-2017,club
Carlos Menendez,Atlético Madrid,2016-2017,club
Oscar Ortega,Atlético Madrid,2016-2017,club
Oscar Pitillas,Atlético Madrid,2016-2017,club
Dos Santos,Atlético Madrid,2017-2018,club
Jan Oblak,Atlético Madrid,2017-2018,club
San Roman,Atlético Madrid,2017-2018,club
Axel Werner,Atlético Madrid,2017-2018,club
Antonio Montoro,Atlético Madrid,2017-2018,club
Carlos Isaac,Atlético Madrid,2017-2018,club
Filipe Luis,Atlético Madrid,2017-2018,club
Jose Gimenez,Atlético Madrid,2017-2018,club
Diego Godin,Atlético Madrid,2017-2018,club
Lucas Hernandez,Atlético Madrid,2017-2018,club
Juanfran,Atlético Madrid,2017-2018,club
Rafa Munoz,Atlético Madrid,2017-2018,club
Stefan Savic,Atlético Madrid,2017-2018,club
Sergi,Atlético Madrid,2017-2018,club
Sime Vrsaljko,Atlético Madrid,2017-2018,club
Aguero,Atlético Madrid,2017-2018,club
Alberto Rodenas,Atlético Madrid,2017-2018,club
Keidi Bare,Atlético Madrid,2017-2018,club
Gabi,Atlético Madrid,2017-2018,club
Koke,Atlético Madrid,2017-2018,club
Thomas Partey,Atlético Madrid,2017-2018,club
Roberto Olabe,Atlético Madrid,2017-2018,club
Saul,Atlético Madrid,2017-2018,club
Toni Moya,Atlético Madrid,2017-2018,club
Angel Correa,Atlético Madrid,2017-2018,club
Diego Costa,Atlético Madrid,2017-2018,club
Fernando Torres,Atlético Madrid,2017-2018,club
Kevin Gameiro,Atlético Madrid,2017-2018,club
Juan Moreno,Atlético Madrid,2017-2018,club
Arona Sane,Atlético Madrid,2017-2018,club
Vitolo,Atlético Madrid,2017-2018,club
Diego Simeone,Atlético Madrid,2017-2018,club
German Burgos,Atlético Madrid,2017-2018,club
Tiago,Atlético Madrid,2017-2018,club
Vizcaino,Atlético Madrid,2017-2018,club
Pablo Vercellone,Atlético Madrid,2017-2018,club
Ivan Rafael Diaz Infante,Atlético Madrid,2017-2018,club
Carlos Menendez,Atlético Madrid,2017-2018,club
Oscar Ortega,Atlético Madrid,2017-2018,club
Oscar Pitillas,Atlético Madrid,2017-2018,club
Adan,Atlético Madrid,2018-2019,club
Dos Santos,Atlético Madrid,2018-2019,club
Jan Oblak,Atlético Madrid,2018-2019,club
San Roman,Atlético Madrid,2018-2019,club
Santiago Arias,Atlético Madrid,2018-2019,club
Carlos Isaac,Atlético Madrid,2018-2019,club
