player,team,season,type
Roberto Firmino,Liverpool FC,2016-2017,club
Daniel Sturridge,Liverpool FC,2016-2017,club
Harry Wilson,Liverpool FC,2016-2017,club
Ben Woodburn,Liverpool FC,2016-2017,club
Jurgen Klopp,Liverpool FC,2016-2017,club
Zeljko Buvac,Liverpool FC,2016-2017,club
Peter Krawietz,Liverpool FC,2016-2017,club
Pepijn Lijnders,Liverpool FC,2016-2017,club
John Achterberg,Liverpool FC,2016-2017,club
Andreas Kornmayer,Liverpool FC,2016-2017,club
Adam Bogdan,Liverpool FC,2017-2018,club
Loris Karius,Liverpool FC,2017-2018,club
Simon Mignolet,Liverpool FC,2017-2018,club
Danny Ward,Liverpool FC,2017-2018,club
Alberto Moreno,Liverpool FC,2017-2018,club
Trent Alexander-Arnold,Liverpool FC,2017-2018,club
Nathaniel Clyne,Liverpool FC,2017-2018,club
Joe Gomez,Liverpool FC,2017-2018,club
Ragnar Klavan,Liverpool FC,2017-2018,club
Dejan Lovren,Liverpool FC,2017-2018,club
Conor Masterson,Liverpool FC,2017-2018,club
Joel Matip,Liverpool FC,2017-2018,club
Andrew Robertson,Liverpool FC,2017-2018,club
Virgil van Dijk,Liverpool FC,2017-2018,club
Emre Can,Liverpool FC,2017-2018,club
Jordan Henderson,Liverpool FC,2017-2018,club
Curtis Jones,Liverpool FC,2017-2018,club
Adam Lallana,Liverpool FC,2017-2018,club
James Milner,Liverpool FC,2017-2018,club
Alex Oxlade-Chamberlain,Liverpool FC,2017-2018,club
Georginio Wijnaldum,Liverpool FC,2017-2018,club
Danny Ings,Liverpool FC,2017-2018,club
Sadio Mane,Liverpool FC,2017-2018,club
Roberto Firmino,Liverpool FC,2017-2018,club
Mohamed Salah,Liverpool FC,2017-2018,club
Dominic Solanke,Liverpool FC,2017-2018,club
Ben Woodburn,Liverpool FC,2017-2018,club
Jurgen Klopp,Liverpool FC,2017-2018,club
Peter Krawietz,Liverpool FC,2017-2018,club
Pepijn Lijnders,Liverpool FC,2017-2018,club
John Achterberg,Liverpool FC,2017-2018,club
Andreas Kornmayer,Liverpool FC,2017-2018,club
Christopher Rohrbeck,Liverpool FC,2017-2018,club
Jasper Cillessen,FC Barcelona,2018-2019,club
Inaki Pena,FC Barcelona,2018-2019,club
Jokin Ezkieta,FC Barcelona,2018-2019,club
Marc-Andre ter Stegen,FC Barcelona,2018-2019,club
Chumi,FC Barcelona,2018-2019,club
Guillem Jaime,FC Barcelona,2018-2019,club
Jordi Alba,FC Barcelona,2018-2019,club
Jorge Cuenca,FC Barcelona,2018-2019,club
Juan Miranda,FC Barcelona,2018-2019,club
Clement Lenglet,FC Barcelona,2018-2019,club
Jeison Murillo,FC Barcelona,2018-2019,club
Nelson Semedo,FC Barcelona,2018-2019,club
Pique,FC Barcelona,2018-2019,club
Jean-Clair Todibo,FC Barcelona,2018-2019,club
Samuel Umtiti,FC Barcelona,2018-2019,club
Thomas Vermaelen,FC Barcelona,2018-2019,club
Moussa Wague,FC Barcelona,2018-2019,club
Arthur,FC Barcelona,2018-2019,club
Kevin-Prince Boateng,FC Barcelona,2018-2019,club
Busquets,FC Barcelona,2018-2019,club
Carles Alena,FC Barcelona,2018-2019,club
Coutinho,FC Barcelona,2018-2019,club
Denis Suarez,FC Barcelona,2018-2019,club
Oriol Busquets,FC Barcelona,2018-2019,club
Rafinha,FC Barcelona,2018-2019,club
Ivan Rakitic,FC Barcelona,2018-2019,club
Riqui Puig,FC Barcelona,2018-2019,club
Sergi Roberto,FC Barcelona,2018-2019,club
Arturo Vidal,FC Barcelona,2018-2019,club
Abel Ruiz,FC Barcelona,2018-2019,club
Alex Collado,FC Barcelona,2018-2019,club
Carles Perez,FC Barcelona,2018-2019,club
Ousmane Dembele,FC Barcelona,2018-2019,club
Malcom,FC Barcelona,2018-2019,club
Lionel Messi,FC Barcelona,2018-2019,club
Luis Suarez,FC Barcelona,2018-2019,club
Valverde,FC Barcelona,2018-2019,club
Aspiazu,FC Barcelona,2018-2019,club
Barbara,FC Barcelona,2018-2019,club
De la Fuente,FC Barcelona,2018-2019,club
Inaki Pena,FC Barcelona,2020-2021,club
Neto,FC Barcelona,2020-2021,club
Marc-Andre ter Stegen,FC Barcelona,2020-2021,club
Ronald Araujo,FC Barcelona,2020-2021,club
