player,team,season
Francisco Lojacono,AS Roma,1962-1963
Pedro Manfredini,AS Roma,1962-1963
Giampaolo Menichelli,AS Roma,1962-1963
Alberto Orlando,AS Roma,1962-1963
Luis Carniglia,AS Roma,1962-1963
Alfredo Foni,AS Roma,1962-1963
Dilwyn John,Cardiff City,1963-1964
Graham Vearncombe,Cardiff City,1963-1964
Graham Coldrick,Cardiff City,1963-1964
Leonard Edwards,Cardiff City,1963-1964
Alan Harrington,Cardiff City,1963-1964
Alexander Milne,Cardiff City,1963-1964
Don Murray,Cardiff City,1963-1964
Trevor Peck,Cardiff City,1963-1964
Peter Rodrigues,Cardiff City,1963-1964
Ron Stitfall,Cardiff City,1963-1964
Colin Baker,Cardiff City,1963-1964
Steve Gammon,Cardiff City,1963-1964
Barry Hole,Cardiff City,1963-1964
Gareth Williams,Cardiff City,1963-1964
Ivor Allchurch,Cardiff City,1963-1964
John Charles,Cardiff City,1963-1964
Mel Charles,Cardiff City,1963-1964
Greg Farrell,Cardiff City,1963-1964
Tommy Halliday,Cardiff City,1963-1964
Peter King,Cardiff City,1963-1964
Bernie Lewis,Cardiff City,1963-1964
Derek Tapscott,Cardiff City,1963-1964
Dilwyn John,Cardiff City,1964-1965
Bob Wilson,Cardiff City,1964-1965
Graham Coldrick,Cardiff City,1964-1965
Alan Harrington,Cardiff City,1964-1965
Alexander Milne,Cardiff City,1964-1965
Don Murray,Cardiff City,1964-1965
Trevor Peck,Cardiff City,1964-1965
Peter Rodrigues,Cardiff City,1964-1965
Colin Baker,Cardiff City,1964-1965
Steve Gammon,Cardiff City,1964-1965
Barry Hole,Cardiff City,1964-1965
Gareth Williams,Cardiff City,1964-1965
Ivor Allchurch,Cardiff City,1964-1965
John Charles,Cardiff City,1964-1965
Mel Charles,Cardiff City,1964-1965
Greg Farrell,Cardiff City,1964-1965
George Johnston,Cardiff City,1964-1965
Peter King,Cardiff City,1964-1965
Bernie Lewis,Cardiff City,1964-1965
Derek Tapscott,Cardiff City,1964-1965
Jimmy Scoular,Cardiff City,1964-1965
Dilwyn John,Cardiff City,1965-1966
Bob Wilson,Cardiff City,1965-1966
Gary Bell,Cardiff City,1965-1966
Graham Coldrick,Cardiff City,1965-1966
Bobby Ferguson,Cardiff City,1965-1966
Alan Harrington,Cardiff City,1965-1966
Don Murray,Cardiff City,1965-1966
Colin Baker,Cardiff City,1965-1966
Barry Hole,Cardiff City,1965-1966
David Summerhayes,Cardiff City,1965-1966
Gareth Williams,Cardiff City,1965-1966
Ronnie Bird,Cardiff City,1965-1966
John Charles,Cardiff City,1965-1966
Greg Farrell,Cardiff City,1965-1966
Terry Harkin,Cardiff City,1965-1966
George Johnston,Cardiff City,1965-1966
Peter King,Cardiff City,1965-1966
Bernie Lewis,Cardiff City,1965-1966
John Toshack,Cardiff City,1965-1966
Jimmy Scoular,Cardiff City,1965-1966
